,Code_postal,Salaire_net_horaire_moyen_en_2014_euro
619,22700.0,14.8
620,22710.0,13.3
621,22730.0,14.6
622,22800.0,11.6
623,22860.0,11.8
624,22940.0,12.4
625,22950.0,12.5
626,22960.0,12.1
627,22970.0,12.2
628,23000.0,12.1
629,23200.0,10.3
630,23300.0,12.2
631,23400.0,10.5
632,24000.0,12.2
633,24100.0,11.7
634,24110.0,11.4
635,24120.0,11.9
636,24130.0,12.1
637,24150.0,12.3
638,24190.0,11.2
639,24200.0,11.1
640,24260.0,11.0
641,24290.0,12.1
642,24300.0,11.4
643,24310.0,11.6
644,24400.0,11.6
645,24430.0,11.7
646,24460.0,11.9
647,24480.0,11.3
648,24490.0,11.9
649,24500.0,11.0
650,24600.0,11.7
651,24650.0,13.1
652,24660.0,12.4
653,24680.0,12.0
654,24700.0,11.6
655,24750.0,12.1
656,24800.0,11.3
657,25000.0,12.6
658,25110.0,12.3
659,25120.0,11.5
660,25130.0,11.8
661,25140.0,13.3
662,25150.0,12.4
663,25200.0,11.8
664,25210.0,12.1
665,25220.0,13.0
666,25230.0,13.1
667,25250.0,12.3
668,25270.0,11.6
669,25290.0,12.7
670,25300.0,11.7
671,25310.0,12.1
672,25320.0,14.0
673,25350.0,11.9
674,25400.0,11.8
675,25410.0,12.5
676,25420.0,14.0
677,25460.0,13.8
678,25480.0,13.8
679,25490.0,12.6
680,25500.0,11.6
681,25550.0,13.7
682,25600.0,11.6
683,25660.0,13.8
684,25700.0,12.3
685,25720.0,14.2
686,25770.0,13.7
687,25800.0,11.8
688,26000.0,13.0
689,26100.0,12.5
690,26110.0,11.4
691,26120.0,14.3
692,26130.0,16.6
693,26140.0,12.2
694,26150.0,11.3
695,26170.0,11.7
696,26190.0,11.5
697,26200.0,13.6
698,26210.0,12.3
699,26220.0,12.3
700,26240.0,12.0
701,26250.0,12.6
702,26260.0,12.8
703,26270.0,12.7
704,26290.0,13.2
705,26300.0,12.5
706,26320.0,13.4
707,26380.0,14.2
708,26400.0,12.0
709,26500.0,13.0
710,26540.0,14.1
711,26600.0,12.4
712,26700.0,13.6
713,26740.0,14.3
714,26760.0,14.3
715,26780.0,13.6
716,26800.0,12.1
717,27000.0,12.6
718,27100.0,11.9
719,27110.0,12.7
720,27120.0,14.2
721,27130.0,12.4
722,27140.0,12.8
723,27150.0,12.6
724,27160.0,11.3
725,27170.0,12.4
726,27180.0,14.1
727,27190.0,12.1
728,27200.0,15.0
729,27210.0,12.8
730,27220.0,12.1
731,27250.0,12.3
732,27300.0,12.7
733,27310.0,13.6
734,27320.0,12.0
735,27340.0,14.0
736,27370.0,15.1
737,27400.0,13.1
738,27470.0,11.7
739,27500.0,11.8
740,27520.0,14.2
741,27530.0,13.2
742,27540.0,13.2
743,27590.0,12.9
744,27600.0,12.8
745,27610.0,13.0
746,27620.0,13.6
747,27670.0,14.6
748,27690.0,14.0
749,27700.0,12.4
750,27750.0,13.9
751,27800.0,12.1
752,27930.0,12.7
753,27940.0,13.0
754,27950.0,15.2
755,28000.0,14.1
756,28100.0,12.0
757,28110.0,11.9
758,28120.0,12.4
759,28130.0,14.6
760,28150.0,11.7
761,28160.0,11.5
762,28170.0,12.1
763,28190.0,12.9
764,28200.0,11.7
765,28210.0,13.9
766,28220.0,12.4
767,28230.0,14.2
768,28240.0,11.5
769,28250.0,11.9
770,28260.0,14.4
771,28300.0,12.8
772,28320.0,14.8
773,28350.0,12.6
774,28380.0,12.4
775,28390.0,12.9
776,28400.0,11.8
777,28500.0,12.4
778,28570.0,16.5
779,28600.0,15.3
