,id_dim_personne,encours_parrain,id_parrain
660,7272578584,,
661,7272583599,,
662,7272583985,,
663,7272585773,,
664,7272602335,,
665,7272603313,5813.13,2004072640.0
666,7272603641,168.25,2446197123.0
667,7272604272,,
668,7272608795,,
669,7272613599,,
670,7272625814,,
671,7272635301,,
672,7272642938,,
673,7272646056,460.0,7104493984.0
674,7272646148,124008.89,1586114155.0
675,7272653728,551.42,6425981861.0
676,7272655417,275.39,6742393489.0
677,7272657565,130.01,5962921285.0
678,7272665098,22322.79,6455154906.0
679,7272669937,,
680,7272672162,,
681,7272674878,1308.04,6558216065.0
682,7272685339,,
683,7272687694,10.0,6706146559.0
684,7272697045,16.74,6499765598.0
685,7272704596,261.75,6214831169.0
686,7272716060,,
687,7272720201,,
688,7272724544,15125.59,7160460288.0
689,7272740488,,
690,7272742250,,
691,7272750142,,
692,7272750487,3062.83,4640685572.0
693,7272753017,,
694,7273148199,114485.78,7087543630.0
695,7273150735,,
696,7273155510,191.88,4894587289.0
697,7273158793,,
698,7273168662,,
699,7273177489,11960.36,5899288524.0
700,7273178874,,
701,7273185554,119.29,6701593551.0
702,7273188220,,
703,7273188676,,
704,7273189047,,
705,7273189761,60816.73,1344166432.0
706,7273190564,,
707,7273202569,,
708,7273205572,25424.42,5650808386.0
709,7273208662,,
710,7273213024,,
711,7273220915,71965.22,2406475367.0
712,7273232268,61855.69,447326283.0
713,7273246114,1.0,5286945645.0
714,7273252192,,
715,7273261203,17665.79,3200877693.0
716,7273264078,420.02,6952583888.0
717,7273264398,,
718,7273291857,10992.2,5484018697.0
719,7273303896,,
720,7273308414,,
721,7273309192,,
722,7273314385,,
723,7273323665,4635.78,921386935.0
724,7273324331,1444.56,5735054697.0
725,7273328332,,
726,7273335963,1025.88,2995240464.0
727,7273337390,,
728,7273338383,143.86,5632165178.0
729,7273340030,2000.0,5016322394.0
730,7273353077,456.07,7081199166.0
731,7273353146,533.05,7059515466.0
732,7273354640,2161.92,3705222324.0
733,7273355440,6413.64,2084428027.0
734,7273369919,,
735,7273375859,,
736,7273376553,7508.51,2705339619.0
737,7273378964,,
738,7273392375,,
739,7273394800,12.59,4897704403.0
740,7273395899,,
741,7273396719,40.0,5928481285.0
742,7273396784,,
743,7273403749,,
744,7273404308,,
745,7273404381,,
746,7273407363,,
747,7273410101,,
748,7273418061,174.2,6211429748.0
749,7273426608,2410.01,6276316353.0
750,7273428085,94.75,6710245787.0
751,7273434131,,
752,7273436078,24.87,5531958944.0
753,7273438860,,
754,7273448468,169.85,4605696651.0
755,7273459447,151.0,4522479208.0
756,7273472347,,
757,7273484044,,
758,7273497066,1442.5,2218323887.0
759,7273498438,24764.77,2444038157.0
760,7273506516,1450.22,3922867949.0
761,7273513303,,
762,7273526865,,
763,7273527198,,
764,7273532698,,
765,7273538076,2757.87,6059568103.0
766,7273548071,165.09,6215692916.0
767,7273550556,350.66,6546481288.0
768,7273551773,26.2,5701952529.0
769,7273566641,510.0,7142683092.0
770,7273568646,,
771,7273575427,128.07,6321451469.0
772,7273576533,,
773,7273576569,30.0,6920861290.0
774,7273579850,151.0,4522479208.0
775,7273580226,94.54,5650777292.0
776,7273588072,1377.29,5600462227.0
777,7273596018,780.85,6131361717.0
778,7273596304,,
779,7273605096,336.79,6477225882.0
780,7273605443,21282.79,6381536448.0
781,7273611074,303.58,7052224626.0
782,7273611317,1510.0,6642963361.0
783,7273617704,20.01,6421557252.0
784,7273619697,,
785,7273621021,,
786,7273621082,225.22,1976764687.0
787,7273627371,2721.49,5362556733.0
788,7273629960,773.94,5869534946.0
789,7273634476,3251.2,3730423850.0
790,7273643307,53866.83,2754642788.0
791,7273647266,247.33,4511352887.0
792,7273647688,,
793,7273653723,,
794,7273654243,6699.65,5928324398.0
795,7273659323,,
796,7273660647,,
797,7273665920,237.7,6044971290.0
798,7273666177,9.91,4445220779.0
799,7273669821,1415.06,5980774434.0
800,7273670518,547.47,7154077366.0
801,7273681927,,
802,7273695136,27.58,6068884320.0
803,7273699239,,
804,7273702731,12961.49,7169051469.0
805,7273703294,9588.6,3295654072.0
806,7273704326,,
807,7273704797,,
808,7273705776,2073.44,7018045642.0
809,7273710452,7623.13,7169154750.0
810,7273725916,1343.87,6670580680.0
811,7273726637,,
812,7273727041,0.0,4309565374.0
813,7273730123,15658.48,5094937277.0
814,7273730317,,
815,7273731357,,
816,7273732219,8096.25,3941078935.0
817,7273732509,,
818,7273738544,448.8,6867001696.0
819,7273753163,2341.4,6304249670.0
820,7273758886,48.95,6068915658.0
821,7273760362,,
822,7273770167,10148.67,5375124928.0
823,7273776646,,
824,7273777540,,
825,7273778123,,
826,7273780016,,
827,7273780091,,
828,7275920061,,
829,7277547104,,
830,7277552328,,
831,7277552806,,
832,7277553121,,
833,7277565540,,
834,7277573042,,
835,7277573260,,
836,7277581036,,
837,7277583102,3290.03,5877134094.0
838,7277585534,,
839,7277593577,,
840,7277596127,,
841,7277599048,,
842,7277603009,,
843,7277603307,,
844,7277604746,,
845,7277605242,,
846,7277605291,,
847,7277606134,,
848,7277609578,,
849,7277612931,533.99,3906865345.0
850,7277624274,,
851,7277625318,,
852,7277628762,,
853,7277629156,,
854,7277635711,,
855,7277642473,,
856,7277644278,,
857,7277653511,21484.62,2266576791.0
858,7277654609,40.0,6737178897.0
859,7277660313,,
860,7277660953,,
861,7277661871,,
862,7277661981,436.81,6503744259.0
863,7277662828,,
864,7277668145,,
865,7277669348,1353.89,6251043715.0
866,7277671534,,
867,7277672095,,
868,7277672977,3386.99,267212.0
869,7277674757,456.81,5020003468.0
870,7277677491,15.0,4533548568.0
871,7277677579,,
872,7277678927,25131.39,5967662427.0
873,7277679888,,
874,7277683652,,
875,7277685851,,
876,7277688886,,
877,7277689509,,
878,7277690965,,
879,7277692812,16177.07,4697294707.0
880,7277694830,,
881,7277699483,,
882,7277702197,22414.63,5046931352.0
883,7277703033,,
884,7277703687,,
885,7277703728,,
886,7277705471,,
887,7277706753,,
888,7277707420,,
889,7277710388,,
890,7277710985,,
891,7277711253,1913.64,2568700091.0
892,7277712049,155.77,6888663360.0
893,7277714820,2092.48,6926965190.0
894,7277717552,44.49,5407361940.0
895,7277719785,,
896,7277721402,,
897,7277724999,,
898,7277732155,,
899,7277733290,,
900,7277737300,,
901,7277738059,,
902,7277744618,2263.34,3749480229.0
903,7277748220,,
904,7277749204,,
905,7277751412,,
906,7277755464,,
907,7277755886,9683.64,5686825015.0
908,7277760319,356.74,7104570631.0
909,7277767444,,
910,7277768775,,
911,7277770311,,
912,7277773301,,
913,7277774133,453.64,3280985919.0
914,7277774254,,
915,7277776410,,
916,7277777388,68.32,656900308.0
917,7277778975,,
918,7277779076,,
919,7277783898,,
920,7277796336,,
921,7277802015,,
922,7277809414,645.26,4844736178.0
923,7277811208,,
924,7277813524,150.0,6727968156.0
925,7277815876,,
926,7277821634,,
927,7277822247,353.39,6240735152.0
928,7277823268,,
929,7277823775,204.15,6901496311.0
930,7277824774,,
931,7277829237,,
932,7277829731,5753.38,289458669.0
933,7277829942,,
934,7277831764,169.92,5054823060.0
935,7277834357,1132.89,3822851558.0
936,7277834945,,
937,7277836573,,
938,7277839614,,
939,7277842371,,
940,7277842454,,
941,7277844072,146.7,3952266703.0
942,7277844224,,
943,7277844280,,
944,7277844419,,
945,7277848435,,
946,7277848635,147.19,4976755455.0
947,7277858846,,
948,7277859818,169.4,6054681993.0
949,7277862650,,
950,7277867310,,
951,7277872857,951.54,4113597477.0
952,7277878714,,
953,7277882442,,
954,7277884739,1900.8,7137224711.0
