,campagne,code_postal,code_postal_naissance,csp,debit_cb,flag_banque_principale,flag_epargne,nature_cb,patrimoine,regime_matrimonial,revenus_annuels,encours,cible,AGE,Parrain,domain,Sex,country_connexion,pays_de_naissance
13464,868.0,92320.0,93300.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,380.0,0,25.0,1,3.0,0,1.0,1.0
13465,868.0,94320.0,93260.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,380.0,0,50.0,1,14.0,0,1.0,1.0
13466,868.0,31700.0,83600.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,300.0,0,27.0,1,3.0,0,1.0,1.0
13468,868.0,91460.0,92260.0,13.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,380.0,0,37.0,1,7.0,0,1.0,1.0
13469,868.0,93500.0,75019.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1500.0,1,27.0,1,1.0,0,-2.0,1.0
13471,868.0,35390.0,44110.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,10.0,0,33.0,0,3.0,-1,1.0,1.0
13477,300.0,94300.0,94160.0,4.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,1550.18,1,32.0,0,2.0,0,1.0,1.0
13478,307.0,34110.0,34200.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,377.5,0,31.0,0,3.0,1,1.0,1.0
13479,868.0,69003.0,67500.0,13.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,4941.04,1,49.0,1,8.0,1,1.0,1.0
13483,300.0,57000.0,74100.0,11.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,25048.79,1,49.0,0,3.0,1,1.0,1.0
13488,300.0,22640.0,22600.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,4115.17,1,38.0,0,3.0,0,1.0,1.0
13492,868.0,33400.0,17200.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4350.33,1,55.0,1,6.0,-1,1.0,1.0
13499,868.0,17300.0,17000.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,3660.0,1,30.0,1,3.0,-1,1.0,1.0
13513,868.0,71520.0,97430.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4660.3,1,72.0,1,4.0,0,1.0,1.0
13515,304.0,77410.0,77100.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,297.5,0,27.0,0,3.0,1,1.0,1.0
13517,868.0,69300.0,95160.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,300.0,0,28.0,1,4.0,1,1.0,1.0
13519,868.0,57070.0,68100.0,16.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,0,54.0,0,4.0,1,1.0,1.0
13520,300.0,83170.0,69001.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,256.62,0,53.0,0,14.0,1,1.0,1.0
13522,868.0,92150.0,72000.0,4.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,300.0,0,26.0,1,3.0,0,1.0,1.0
13525,307.0,29520.0,44000.0,16.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,10.0,0,57.0,0,3.0,0,1.0,1.0
13533,868.0,92300.0,21300.0,13.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,23.0,0,41.0,1,3.0,1,1.0,1.0
13534,868.0,22530.0,57412.0,9.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,370.0,0,56.0,1,10.0,1,1.0,1.0
13540,307.0,92800.0,93400.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,580.0,0,55.0,0,1.0,1,1.0,1.0
13548,300.0,82500.0,99.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2360.0,1,56.0,0,7.0,1,1.0,3.0
13549,868.0,92300.0,72000.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,580.0,0,26.0,1,3.0,0,1.0,1.0
13551,307.0,75015.0,50600.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9997.68,1,26.0,0,3.0,0,1.0,1.0
13555,868.0,13400.0,51100.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,530.0,0,54.0,1,4.0,0,1.0,1.0
13558,868.0,38330.0,75015.0,6.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,6790.94,1,75.0,1,10.0,1,1.0,1.0
13560,868.0,34070.0,60800.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,0,35.0,0,3.0,1,1.0,1.0
13571,300.0,54170.0,8000.0,6.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,425.0,0,67.0,0,8.0,1,1.0,1.0
13572,868.0,95100.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,20.01,0,26.0,1,3.0,0,1.0,9.0
13576,868.0,75011.0,99.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,469.51,0,27.0,1,3.0,1,1.0,15.0
13580,868.0,94130.0,60270.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,11.76,0,28.0,1,1.0,1,1.0,1.0
13584,1543.0,69100.0,69160.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,20.0,0,39.0,0,2.0,1,1.0,1.0
13585,300.0,95400.0,99.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,611.52,0,37.0,0,17.0,1,1.0,21.0
13592,868.0,13001.0,64300.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,320.59,0,45.0,1,0.0,1,1.0,1.0
13594,868.0,92320.0,99.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1272.04,1,56.0,1,20.0,1,1.0,7.0
13598,300.0,34080.0,34000.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1469.94,1,58.0,0,3.0,1,1.0,1.0
13599,868.0,97420.0,97400.0,16.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,-436.25,0,29.0,1,3.0,-1,9.0,1.0
13609,300.0,68170.0,68230.0,16.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1947.94,1,58.0,0,3.0,0,1.0,1.0
13614,868.0,95870.0,99.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,380.0,0,29.0,1,3.0,1,1.0,9.0
13616,456.0,92120.0,22000.0,18.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4497.5,1,28.0,0,3.0,0,1.0,1.0
13617,1543.0,13770.0,30100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,334.61,0,45.0,0,0.0,0,1.0,1.0
13623,1482.0,75013.0,91400.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,20.0,0,43.0,0,0.0,0,1.0,1.0
13629,868.0,75011.0,54000.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,720.81,0,29.0,1,3.0,0,1.0,1.0
13630,868.0,14420.0,14000.0,13.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,230.0,0,57.0,1,6.0,1,1.0,1.0
13631,456.0,76970.0,76000.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0,22.0,0,3.0,-1,1.0,1.0
13638,868.0,85500.0,85500.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,351.76,0,54.0,1,3.0,0,1.0,1.0
13639,868.0,78480.0,93800.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,54.0,1,8.0,-1,1.0,1.0
13644,456.0,92190.0,72500.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,180.0,0,64.0,0,3.0,0,1.0,1.0
13645,300.0,92290.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,300.0,0,30.0,1,3.0,-1,4.0,4.0
13648,868.0,75019.0,99.0,13.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,364.0,0,40.0,1,3.0,1,1.0,13.0
13649,456.0,67300.0,68100.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0,46.0,0,3.0,0,1.0,1.0
13652,300.0,30000.0,30000.0,16.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,806.16,0,53.0,0,9.0,-1,1.0,1.0
13657,1543.0,93140.0,99.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,450.0,0,44.0,0,1.0,1,1.0,4.0
13661,456.0,75015.0,99.0,11.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,1880.0,1,39.0,0,3.0,1,1.0,4.0
13662,868.0,6000.0,93140.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,380.0,0,31.0,1,2.0,0,1.0,1.0
13664,1543.0,80080.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,460.0,0,36.0,0,1.0,1,1.0,9.0
13665,868.0,30900.0,99.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,430.0,0,57.0,1,4.0,1,1.0,4.0
13674,868.0,10120.0,51100.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,8511.8,1,26.0,0,13.0,0,1.0,1.0
13677,300.0,27680.0,75017.0,13.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1626.92,1,58.0,0,4.0,1,1.0,1.0
13678,868.0,92160.0,94240.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,380.0,0,37.0,1,2.0,0,1.0,1.0
13680,307.0,69630.0,17000.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,356.63,0,29.0,0,3.0,-1,1.0,1.0
13681,868.0,89000.0,99.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,661.95,0,36.0,1,3.0,1,1.0,4.0
13683,868.0,75015.0,72000.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,113.23,0,28.0,1,3.0,-1,1.0,1.0
13689,1543.0,59840.0,59600.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,4986.2,1,40.0,0,3.0,0,1.0,1.0
13690,300.0,91170.0,37000.0,16.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,7238.0,1,58.0,0,3.0,0,1.0,1.0
13691,868.0,69008.0,99.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,1,2.0,1,1.0,20.0
13692,868.0,65290.0,92140.0,13.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,380.0,0,39.0,1,22.0,0,1.0,1.0
13694,456.0,94500.0,94160.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,10.0,0,31.0,0,1.0,-1,1.0,1.0
13695,300.0,75009.0,75014.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1967.76,1,26.0,0,14.0,0,1.0,1.0
13698,307.0,75020.0,77100.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,380.0,0,31.0,1,3.0,0,1.0,1.0
